NOMBRE O DESCRIPCION;ASIENTO;ALOJAMIENTO
7222/BTVPUA FAG;Ø INT 110;Ø EXT 200
7222BMPUA  FAG;Ø INT 110;Ø EXT 200
NU 2222E.TVP2  FAG;Ø INT 110;Ø EXT 200
NU 309  E TVP2  FAG;Ø INT 45;Ø EXT 100
NU 309 ECP  SKF;Ø INT 45;Ø EXT 100
NU-208/ECP/C3 SKF;Ø INT 40;Ø EXT 80
NU-208ETVP2/C3 FAG;Ø INT 40;Ø EXT 80
NU-209/ECP/C3  SKF;Ø INT 45;Ø EXT 85
NU-209ETVP2/C3 FAG;Ø INT 45;Ø EXT 85
NU-217/ECP/C3 SKF;Ø INT 85;Ø EXT 150
NU-217/EM1/C3 FAG;Ø INT 85;Ø EXT 150
NU-220/ECP/C3 SKF;Ø INT 100;Ø EXT 180
NU-220/EM1/C3 FAG;Ø INT 100;Ø EXT 180
NU-222/ECJ/C3 SKF;Ø INT 110;Ø EXT 200
NU-222/ECP/C3 SKF;Ø INT 110;Ø EXT 200
NU-222/EM1/C3  FAG;Ø INT 110;Ø EXT 200
NU-2222/M1/C3  FAG;Ø INT 110;Ø EXT 200
NU-2226/ECML/C3  FAG;Ø INT 130;Ø EXT 230
NU-2226/EM1/C3 FAG;Ø INT 130;Ø EXT 230
NU-228/ECJ/C3 SKF;Ø INT 140;Ø EXT 250
NU-228/EM1/C3 FAG;Ø INT 140;Ø EXT 250
NU-232/EM1A/C3 FAG;Ø INT 160;Ø EXT 290
NU-234/EM1/C3 FAG;Ø INT 170;Ø EXT 310
NU-238/EM1/C3 FAG;Ø INT 190;Ø EXT 340
NU-308ETVP2;Ø INT 40;Ø EXT 90
NU-309 ECJ SKF;Ø INT 45;Ø EXT 100
NU-309 ECP  SKF;Ø INT 45;Ø EXT 100
NU-310/ETVP/C3 SKF;Ø INT 50;Ø EXT 110
NU-310/ETVP2/C3 FAG;Ø INT 50;Ø EXT 110
NU-313/ECP SKF;Ø INT 65;Ø EXT 140
NU-313/ECP/C3;Ø INT 65;Ø EXT 140
NU-313/ECP/C3 SKF;Ø INT 65;Ø EXT 140
NU-314/ECM/C3 SKF;Ø INT 70;Ø EXT 150
NU-314/ETVP2/C3 FAG;Ø INT 70;Ø EXT 150
NU-322 ECM/C3  FAG;Ø INT 110;Ø EXT 240
NU-322/ECJ/C3 SKF;Ø INT 110;Ø EXT 240
NU-326/EM1/C3 FAG;Ø INT 130;Ø EXT 280
NU-326/ETVP2/C3 FAG;Ø INT 130;Ø EXT 280
NU-328/EM1/C3 FAG;Ø INT 140;Ø EXT 300
NU-338/EM1/C3 FAG;Ø INT 190;Ø EXT 400
NU 2226 EM/C3  FAG;Ø INT 130;Ø EXT 230
NU-326/ECM/C3 SKF;Ø INT 130;Ø EXT 280
NU-330/EM1/C3 FAG;Ø INT 150;Ø EXT 320
